# Generated on: 2025-06-28T03:22:18.487Z
# Search Parameters: {"propertyValue":550000,"downPayment":20000,"loanAmount":530000,"creditScore":698,"propertyType":"single_family","occupancy":"primary","zipCode":"44121"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
Everstream Mortgage,5.875%,6.198%,"$3,226.389",0.7292000000000058,"$1,113.9",VA,Wholesale
NexBank,5.875%,6.214%,"$3,226.389",-0.9903800000000018,"$1,988.8",VA,Wholesale
Pennymac TPO,5.875%,6.232%,"$3,226.389",-1.044,"$3,005.5",VA,Wholesale
Loan Factory Direct - PennyMac,5.875%,6.232%,"$3,226.389",-1.044,"$3,005.5",VA,Wholesale
"VIP Mortgage, Inc.",5.875%,6.233%,"$3,226.389",-0.8509999999999991,"$3,049",VA,Wholesale
Kind Lending,5.875%,6.248%,"$3,226.389",-0.61365,"$3,907.3",VA,Wholesale
Loan Factory Direct - Kind Lending,5.875%,6.248%,"$3,226.389",-0.61365,"$3,907.3",VA,Wholesale
JMAC Lending Inc.,5.875%,6.280%,"$3,226.389",-0.32239,"$5,632.2",VA,Wholesale
AFR Wholesale,5.875%,6.288%,"$3,226.389",-0.6500000000000057,"$6,103.4",VA,Wholesale
NewRez LLC,5.875%,6.311%,"$3,226.389",-0.611,"$7,368.9",VA,Wholesale
Sun West Mtg Co Wholesale,5.875%,6.312%,"$3,226.389",0.15437,"$7,414.5",VA,Wholesale
Loan Factory Direct - Rocket,5.875%,6.318%,"$3,226.389",-0.5360000000000014,"$7,739.7",VA,Wholesale
Rocket Pro,5.875%,6.318%,"$3,226.389",-0.5360000000000014,"$7,739.7",VA,Wholesale
HomeBridge Wholesale,5.875%,6.373%,"$3,226.389",0.362,"$10,728.6",VA,Wholesale
TPO GO,5.875%,6.385%,"$3,226.389",-0.31799999999999784,"$11,383.2",VA,Wholesale
Loan United Wholesale,5.875%,6.387%,"$3,226.389",0.3780000000000001,"$11,497.7",VA,Wholesale
Open Mortgage,5.875%,6.427%,"$3,226.389",-0.85,"$13,663",VA,Wholesale
The Loan Store LLC,5.875%,6.450%,"$3,226.389",-0.929000000000002,"$14,868.4",VA,Wholesale
"Paramount Residential Mortgage Group, Inc.",5.875%,6.451%,"$3,226.389",0.034,"$14,939.3",VA,Wholesale
Orion Lending,5.875%,6.468%,"$3,226.389",-0.074,"$15,850.2",VA,Wholesale
Jet Advantage Mortgage,5.875%,6.572%,"$3,226.389",-0.09099999999999397,"$21,348.1",VA,Wholesale
Forward Lending,5.875%,6.572%,"$3,226.389",-0.09099999999999397,"$21,348.1",VA,Wholesale
Union Home Mortgage,5.875%,6.831%,"$3,226.389",0.7489999999999952,"$34,656.4",VA,Wholesale
PenFed Credit Union,5.875%,6.125%,"$3,124",0.375,"$14,327",VA,Retail
"New American Funding, LLC.",5.875%,6.161%,"$3,124",0.956,"$16,400",VA,Retail
PenFed Credit Union,5.875%,6.516%,"$4,097",0.875,"$6,615",Conventional,Retail
"New American Funding, LLC.",5.875%,6.586%,"$4,097",1.842,"$9,726",Conventional,Retail
Garden State Home Loans - HE,5.990%,6.188%,"$3,162.23",0,"$11,030.08",VA,Retail
Third Federal Savings and Loan,5.990%,7.326%,"$3,778.23",2,"$11,955",Conventional,Retail
"New American Funding, LLC.",5.990%,6.232%,"$3,163",0.463,"$13,797",VA,Retail
"New American Funding, LLC.",5.990%,6.674%,"$3,598",2.498,"$13,189",Conventional,Retail
"New American Funding, LLC.",5.990%,6.696%,"$3,598",2.748,"$14,509",Conventional,Retail
Sage Home Loans,5.995%,7.000%,"$3,603.93",1.919,"$11,626.32",Conventional,Retail
Chase Bank,6.000%,6.943%,"$4,412.296",1.081,"$6,302.68",Conventional,Retail
Chase Bank,6.000%,6.573%,"$5,702.226",1.1400000000000001,"$6,614.2",Conventional,Retail
Us Bank,6.000%,6.586%,"$7,713.32",0.845,"$10,097.37",Conventional,Retail
PenFed Credit Union,6.000%,6.135%,"$2,968",0,"$11,383",Conventional,Retail
Everstream Mortgage,6.000%,6.352%,"$3,907.587",0.10299999999999443,"$-2,301.5",VA,Wholesale
Pennymac TPO,6.000%,6.403%,"$3,907.587",-1.62,$-136.2,VA,Wholesale
Loan Factory Direct - PennyMac,6.000%,6.403%,"$3,907.587",-1.62,$-136.2,VA,Wholesale
Sun West Mtg Co Wholesale,6.000%,6.415%,"$3,907.587",-1.14187,$344.5,VA,Wholesale
NexBank,6.000%,6.448%,"$3,907.587",-1.0355600000000038,"$1,742.4",VA,Wholesale
Kind Lending,6.000%,6.491%,"$3,907.587",-0.68569,"$3,514.4",VA,Wholesale
Loan Factory Direct - Kind Lending,6.000%,6.491%,"$3,907.587",-0.68569,"$3,514.4",VA,Wholesale
NewRez LLC,6.000%,6.500%,"$3,907.587",-1.246,"$3,905.4",VA,Wholesale
AFR Wholesale,6.000%,6.654%,"$3,907.587",0.10099999999999909,"$10,199.6",VA,Wholesale
HomeBridge Wholesale,6.000%,6.672%,"$3,907.587",-0.097,"$10,952.2",VA,Wholesale
Open Mortgage,6.000%,6.717%,"$3,907.587",-1.016,"$12,757.6",VA,Wholesale
The Loan Store LLC,6.000%,6.897%,"$3,907.587",0,"$19,935.4",VA,Wholesale
Jet Advantage Mortgage,6.000%,6.937%,"$3,907.587",-0.06199999999999761,"$21,506.2",VA,Wholesale
