# Generated on: 2025-06-27T22:26:37.051Z
# Search Parameters: {"propertyValue":650000,"downPayment":150000,"creditScore":750,"propertyType":"single_family","occupancy":"primary","zipCode":"44053"}
# File Type: mortgage_rates

Lender,Rate,APR,Payment,Points,Upfront_Costs,Loan_Type,Quote_Type
TPO GO,5.375%,5.979%,"$4,127.36",-0.02400000000000091,"$4,705.6",FHA,Wholesale
Loan United Wholesale,5.375%,5.981%,"$4,127.36",-0.43600000000000705,"$4,771.7",FHA,Wholesale
HomeBridge Wholesale,5.375%,5.990%,"$4,127.36",0.094,"$5,051.9",FHA,Wholesale
"National Mortgage Service, Inc. (NMSI)",5.375%,6.056%,"$4,127.36",-0.125,"$7,119.4",FHA,Wholesale
JMAC Lending Inc.,5.375%,6.203%,"$4,127.36",0.7747,"$11,701.2",FHA,Wholesale
Open Mortgage,5.375%,6.302%,"$4,127.36",1.378,"$14,773.6",FHA,Wholesale
Windsor Mortgage Solutions,5.375%,6.478%,"$4,127.36",2.308880000000002,"$20,150.8",FHA,Wholesale
Loan Factory Direct - Rocket,5.375%,5.884%,"$4,190.24",-1.0679999999999978,$234.2,VA,Wholesale
Rocket Pro,5.375%,5.884%,"$4,190.24",-1.0679999999999978,$234.2,VA,Wholesale
NewRez LLC,5.375%,5.891%,"$4,190.24",-0.959,$446.1,VA,Wholesale
"VIP Mortgage, Inc.",5.375%,5.921%,"$4,190.24",-1.117999999999995,"$1,423.3",VA,Wholesale
Pennymac TPO,5.375%,5.941%,"$4,190.24",-0.952,"$2,048.9",VA,Wholesale
Loan Factory Direct - PennyMac,5.375%,5.941%,"$4,190.24",-0.952,"$2,048.9",VA,Wholesale
Click n' Close,5.375%,5.951%,"$4,190.24",-0.99827,"$2,378.4",VA,Wholesale
Eleven Mortgage,5.375%,5.964%,"$4,190.24",-0.99723,"$2,797.4",VA,Wholesale
Plaza Home Mortgage Inc.,5.375%,6.005%,"$4,190.24",-0.46713,"$4,116.3",VA,Wholesale
Loan United Wholesale,5.375%,6.007%,"$4,190.24",-0.8319999999999936,"$4,168.6",VA,Wholesale
Sun West Mtg Co Wholesale,5.375%,6.024%,"$4,190.24",-0.73062,"$4,692.8",VA,Wholesale
Jet Advantage Mortgage,5.375%,6.048%,"$4,190.24",0.1460000000000008,"$5,476.6",VA,Wholesale
Forward Lending,5.375%,6.048%,"$4,190.24",0.1460000000000008,"$5,476.6",VA,Wholesale
AFR Wholesale,5.375%,6.049%,"$4,190.24",-0.14300000000000068,"$5,497.4",VA,Wholesale
